date,job_scarcity,consumer_anxiety,job_scarcity_z,consumer_anxiety_z,STI
2000-01-01,-0.51,-37.7,1.4694843229515275,0.11076598756571998,0.7901251552586237
2000-02-01,-0.52,-37.9,1.4400342260372883,0.06864656267784189,0.7543403943575651
2000-03-01,-0.54,-38.2,1.3811340322088097,0.0054674253460225,0.6933007287774161
2000-04-01,-0.56,-38.4,1.3222338383803312,-0.03665199954185559,0.6427909194192378
2000-05-01,-0.56,-38.7,1.3222338383803312,-0.09983113687367498,0.611201350753328
2000-06-01,-0.58,-38.9,1.2633336445518528,-0.14195056176155307,0.5606915413951499
2000-07-01,-0.6,-39.1,1.2044334507233743,-0.18406998664943267,0.5101817320369708
2000-08-01,-0.61,-39.3,1.174983353809135,-0.22618941153731076,0.4743969711359121
2000-09-01,-0.62,-39.5,1.1455332568948957,-0.2683088364251904,0.43861221023485264
2000-10-01,-0.64,-39.4,1.0866330630664172,-0.24724912398125057,0.4196919695425833
2000-11-01,-0.65,-39.3,1.0571829661521779,-0.22618941153731076,0.41549677730743356
2000-12-01,-0.65,-39.2,1.0571829661521779,-0.20512969909337248,0.42602663352940273
2001-01-01,-0.65,-37.9,1.0571829661521779,0.06864656267784189,0.5629147644150099
2001-02-01,-0.64,-36.5,1.0866330630664172,0.36348253689299453,0.7250577999797059
2001-03-01,-0.63,-35.2,1.1160831599806564,0.6372587986642074,0.8766709793224319
2001-04-01,-0.62,-35.3,1.1455332568948957,0.6161990862202691,0.8808661715575824
2001-05-01,-0.61,-35.3,1.174983353809135,0.6161990862202691,0.895591220014702
2001-06-01,-0.61,-35.4,1.174983353809135,0.5951393737763293,0.8850613637927321
2001-07-01,-0.6,-33.9,1.2044334507233743,0.9110350604354217,1.057734255579398
2001-08-01,-0.58,-32.4,1.2633336445518528,1.226930747094514,1.2451321958231834
2001-09-01,-0.57,-30.9,1.292783741466092,1.5428264337536066,1.4178050876098494
2001-10-01,-0.54,-30.9,1.3811340322088097,1.5428264337536066,1.4619802329812082
2001-11-01,-0.52,-32.2,1.4400342260372883,1.2690501719823923,1.3545421990098403
2001-12-01,-0.51,-30.9,1.4694843229515275,1.5428264337536066,1.5061553783525672
2002-01-01,-0.5,-34.0,1.4989344198657666,0.8899753479914819,1.1944548839286242
2002-02-01,-0.51,-32.2,1.4694843229515275,1.2690501719823923,1.36926724746696
2002-03-01,-0.52,-35.6,1.4400342260372883,0.5530199488884497,0.996527087462869
2002-04-01,-0.52,-36.2,1.4400342260372883,0.42666167422481244,0.9333479501310503
2002-05-01,-0.53,-37.8,1.410584129123049,0.08970627512178168,0.7501452021224153
2002-06-01,-0.53,-37.1,1.410584129123049,0.23712426222935726,0.8238541956762031
2002-07-01,-0.54,-38.0,1.3811340322088097,0.04758685023390209,0.7143604412213559
2002-08-01,-0.55,-37.7,1.3516839352945704,0.11076598756571998,0.7312249614301451
2002-09-01,-0.55,-36.3,1.3516839352945704,0.40560196178087415,0.8786429485377223
2002-10-01,-0.56,-35.3,1.3222338383803312,0.6161990862202691,0.9692164623003001
2002-11-01,-0.56,-35.7,1.3222338383803312,0.53196023644451,0.9270970374124206
2002-12-01,-0.57,-33.6,1.292783741466092,0.9742141977672396,1.133498969616666
2003-01-01,-0.58,-33.8,1.2633336445518528,0.9320947728793615,1.097714208715607
2003-02-01,-0.59,-34.1,1.2338835476376135,0.8689156355475421,1.0513995915925778
2003-03-01,-0.6,-33.5,1.2044334507233743,0.9952739102111794,1.0998536804672767
2003-04-01,-0.61,-35.4,1.174983353809135,0.5951393737763293,0.8850613637927321
2003-05-01,-0.61,-36.0,1.174983353809135,0.468781099112692,0.8218822264609135
2003-06-01,-0.62,-35.2,1.1455332568948957,0.6372587986642074,0.8913960277795516
2003-07-01,-0.63,-36.6,1.1160831599806564,0.34242282444905475,0.7292529922148556
2003-08-01,-0.65,-38.7,1.0571829661521779,-0.09983113687367498,0.47867591463925147
2003-09-01,-0.67,-38.6,0.9982827723236993,-0.07877142442973518,0.4597556739469821
2003-10-01,-0.7,-40.3,0.9099324815809819,-0.43678653597670575,0.2365729728021381
2003-11-01,-0.72,-40.0,0.8510322877525034,-0.37360739864488784,0.23871244455380777
2003-12-01,-0.75,-38.2,0.7626819970097856,0.0054674253460225,0.38407471117790404
2004-01-01,-0.76,-39.3,0.7332319000955463,-0.22618941153731076,0.25352124427911776
2004-02-01,-0.76,-40.2,0.7332319000955463,-0.4157268235327674,0.15875253828138944
2004-03-01,-0.77,-41.5,0.703781803181307,-0.6895030853039803,0.007139358938663354
2004-04-01,-0.78,-42.4,0.6743317062670677,-0.8790404972994355,-0.10235439551618386
2004-05-01,-0.8,-44.4,0.6154315124385892,-1.3002347461782253,-0.34240161686981807
2004-06-01,-0.82,-41.6,0.556531318610111,-0.7105627977479201,-0.07701573956890456
2004-07-01,-0.83,-45.8,0.5270812216958717,-1.595070720393378,-0.5339947493487531
2004-08-01,-0.84,-46.1,0.4976311247816324,-1.6582498577251974,-0.5803093664717824
2004-09-01,-0.86,-43.4,0.43873093095315385,-1.0896376217388304,-0.32545334539283827
2004-10-01,-0.88,-45.4,0.3798307371246753,-1.5108318706176203,-0.5655005667464725
2004-11-01,-0.91,-45.4,0.29148044638195747,-1.5108318706176203,-0.6096757121178313
2004-12-01,-0.92,-42.3,0.2620303494677182,-0.8579807848554957,-0.29797521769388874
2005-01-01,-0.91,-44.8,0.29148044638195747,-1.3844735959539831,-0.5464965747860129
2005-02-01,-0.91,-44.8,0.29148044638195747,-1.3844735959539831,-0.5464965747860129
2005-03-01,-0.93,-42.0,0.23258025255347894,-0.7948016475236778,-0.2811106974850994
2005-04-01,-0.94,-44.3,0.20313015563924,-1.2791750337342855,-0.5380224390475228
2005-05-01,-0.94,-44.4,0.20313015563924,-1.3002347461782253,-0.5485522952694927
2005-06-01,-0.95,-43.3,0.17368005872500072,-1.0685779092948906,-0.44744892528494495
2005-07-01,-0.96,-45.3,0.14422996181076145,-1.4897721581736805,-0.6727710981814595
2005-08-01,-0.96,-45.5,0.14422996181076145,-1.53189158306156,-0.6938308106253993
2005-09-01,-0.96,-42.8,0.14422996181076145,-0.9632793470751931,-0.40952469263221586
2005-10-01,-0.98,-45.2,0.08532976798228291,-1.4687124457297422,-0.6916913388737297
2005-11-01,-0.99,-45.7,0.05587967106804363,-1.5740110079494398,-0.7590656684406981
2005-12-01,-1.01,-44.5,-0.0030205227604349146,-1.321294458622165,-0.6621574906913
2006-01-01,-1.03,-47.0,-0.06192071658891346,-1.8477872697206525,-0.954853993154783
2006-02-01,-1.04,-47.1,-0.09137081350315274,-1.8688469821645923,-0.9801088978338726
2006-03-01,-1.05,-44.8,-0.120820910417392,-1.3844735959539831,-0.7526472531856876
2006-04-01,-1.05,-46.5,-0.120820910417392,-1.7424887075009552,-0.9316548089591736
2006-05-01,-1.07,-45.9,-0.17972110424587054,-1.6161304328373178,-0.8979257685415942
2006-06-01,-1.07,-43.8,-0.17972110424587054,-1.1738764715145882,-0.6767987878802294
2006-07-01,-1.08,-45.5,-0.20917120116010982,-1.53189158306156,-0.870531392110835
2006-08-01,-1.07,-44.6,-0.17972110424587054,-1.3423541710661049,-0.7610376376559878
2006-09-01,-1.07,-43.2,-0.17972110424587054,-1.0475181968509524,-0.6136196505484115
2006-10-01,-1.06,-45.4,-0.1502710073316313,-1.5108318706176203,-0.8305514389746258
2006-11-01,-1.06,-46.1,-0.1502710073316313,-1.6582498577251974,-0.9042604325284144
2006-12-01,-1.06,-44.2,-0.1502710073316313,-1.2581153212903473,-0.7041931643109893
2007-01-01,-1.06,-46.0,-0.1502710073316313,-1.6371901452812576,-0.8937305763064445
2007-02-01,-1.05,-46.0,-0.120820910417392,-1.6371901452812576,-0.8790055278493248
2007-03-01,-1.05,-43.9,-0.120820910417392,-1.194936183958528,-0.65787854718796
2007-04-01,-1.07,-44.2,-0.17972110424587054,-1.2581153212903473,-0.718918212768109
2007-05-01,-1.07,-43.5,-0.17972110424587054,-1.1106973341827702,-0.6452092192143204
2007-06-01,-1.07,-41.6,-0.17972110424587054,-0.7105627977479201,-0.4451419509968953
2007-07-01,-1.06,-41.4,-0.1502710073316313,-0.6684433728600405,-0.40935719009583593
2007-08-01,-1.05,-41.2,-0.120820910417392,-0.6263239479721624,-0.3735724291947772
2007-09-01,-1.03,-40.9,-0.06192071658891346,-0.563144810640343,-0.31253276361462823
2007-10-01,-1.01,-40.1,-0.0030205227604349146,-0.3946671110888276,-0.19884381692463127
2007-11-01,-0.98,-37.9,0.08532976798228291,0.06864656267784189,0.07698816533006239
2007-12-01,-0.98,-36.8,0.08532976798228291,0.30030339956117663,0.19281658377172978
2008-01-01,-0.97,-36.2,0.11477986489652217,0.42666167422481244,0.2707207695606673
2008-02-01,-0.96,-35.2,0.14422996181076145,0.6372587986642074,0.3907443802374844
2008-03-01,-0.96,-34.7,0.14422996181076145,0.7425573608839049,0.44339366134733316
2008-04-01,-0.96,-32.7,0.14422996181076145,1.1637516097626948,0.6539907857867281
2008-05-01,-0.95,-31.0,0.17368005872500072,1.5217667213096668,0.8477233900173338
2008-06-01,-0.92,-29.9,0.2620303494677182,1.7534235581930016,1.00772695383036
2008-07-01,-0.89,-28.8,0.350380640210436,1.9850803950763356,1.1677305176433859
2008-08-01,-0.86,-27.8,0.43873093095315385,2.1956775195157308,1.3172042252344422
2008-09-01,-0.83,-28.8,0.5270812216958717,1.9850803950763356,1.2560808083861037
2008-10-01,-0.79,-27.4,0.6448816093528285,2.279916369291489,1.4623989893221587
2008-11-01,-0.75,-27.1,0.7626819970097856,2.343095506623307,1.5528887518165462
2008-12-01,-0.71,-25.9,0.8804823846667427,2.5958120559505815,1.738147220308662
2009-01-01,-0.64,-25.8,1.0866330630664172,2.6168717683945206,1.851752415730469
2009-02-01,-0.57,-26.0,1.292783741466092,2.5747523435066415,1.9337680424863668
2009-03-01,-0.52,-27.6,1.4400342260372883,2.2377969444036094,1.8389155852204488
2009-04-01,-0.49,-30.2,1.5283845167800059,1.6902444208611829,1.6093144688205943
2009-05-01,-0.46,-32.8,1.6167348075227237,1.1426918973187565,1.3797133524207401
2009-06-01,-0.44,-34.3,1.6756350013512022,0.826796210659664,1.2512156060054331
2009-07-01,-0.43,-36.3,1.7050850982654415,0.40560196178087415,1.055343530023158
2009-08-01,-0.42,-37.0,1.7345351951796808,0.25818397467329707,0.9963595849264889
2009-09-01,-0.43,-37.4,1.7050850982654415,0.17394512489753938,0.9395151115814905
2009-10-01,-0.44,-37.8,1.6756350013512022,0.08970627512178168,0.882670638236492
2009-11-01,-0.44,-37.8,1.6756350013512022,0.08970627512178168,0.882670638236492
2009-12-01,-0.44,-36.6,1.6756350013512022,0.34242282444905475,1.0090289129001284
2010-01-01,-0.45,-37.7,1.646184904436963,0.11076598756571998,0.8784754460013415
2010-02-01,-0.46,-38.2,1.6167348075227237,0.0054674253460225,0.8111011164343731
2010-03-01,-0.48,-38.9,1.5578346136942451,-0.14195056176155307,0.707942025966346
2010-04-01,-0.49,-39.4,1.5283845167800059,-0.24724912398125057,0.6405676963993776
2010-05-01,-0.5,-39.5,1.4989344198657666,-0.2683088364251904,0.6153127917202881
2010-06-01,-0.51,-39.7,1.4694843229515275,-0.31042826131306994,0.5795280308192288
2010-07-01,-0.53,-39.7,1.410584129123049,-0.31042826131306994,0.5500779339049895
2010-08-01,-0.54,-39.2,1.3811340322088097,-0.20512969909337248,0.5880021665577186
2010-09-01,-0.55,-38.2,1.3516839352945704,0.0054674253460225,0.6785756803202965
2010-10-01,-0.56,-38.3,1.3222338383803312,-0.015592287097915799,0.6533207756412077
2010-11-01,-0.58,-38.8,1.2633336445518528,-0.12089084931761328,0.5712213976171198
2010-12-01,-0.59,-39.0,1.2338835476376135,-0.16301027420549288,0.5354366367160603
2011-01-01,-0.6,-39.2,1.2044334507233743,-0.20512969909337248,0.4996518758150009
2011-02-01,-0.62,-38.7,1.1455332568948957,-0.09983113687367498,0.5228510600106103
2011-03-01,-0.62,-36.2,1.1455332568948957,0.42666167422481244,0.786097465559854
2011-04-01,-0.62,-31.2,1.1455332568948957,1.479647296421788,1.3125902766583417
2011-05-01,-0.61,-32.1,1.174983353809135,1.2901098844263321,1.2325466191177337
2011-06-01,-0.62,-33.1,1.1455332568948957,1.0795127599869372,1.1125230084409163
2011-07-01,-0.64,-34.6,1.0866330630664172,0.7636170733278447,0.9251250681971309
2011-08-01,-0.65,-34.7,1.0571829661521779,0.7425573608839049,0.8998701635180414
2011-09-01,-0.67,-35.9,0.9982827723236993,0.48984081155663184,0.7440617919401655
2011-10-01,-0.69,-36.4,0.9393825784952211,0.3845422493369343,0.6619624139160777
2011-11-01,-0.71,-36.3,0.8804823846667427,0.40560196178087415,0.6430421732238084
2011-12-01,-0.72,-36.8,0.8510322877525034,0.30030339956117663,0.57566784365684
2012-01-01,-0.74,-37.5,0.7921320939240248,0.15288541245359957,0.4725087531888122
2012-02-01,-0.75,-37.4,0.7626819970097856,0.17394512489753938,0.4683135609536625
2012-03-01,-0.77,-37.6,0.703781803181307,0.1318257000096598,0.4178037515954834
2012-04-01,-0.78,-37.4,0.6743317062670677,0.17394512489753938,0.4241384155823036
2012-05-01,-0.79,-37.8,0.6448816093528285,0.08970627512178168,0.36729394223730505
2012-06-01,-0.8,-37.6,0.6154315124385892,0.1318257000096598,0.37362860622412447
2012-07-01,-0.81,-37.4,0.5859814155243499,0.17394512489753938,0.37996327021094467
2012-08-01,-0.82,-37.9,0.556531318610111,0.06864656267784189,0.3125889406439764
2012-09-01,-0.81,-37.8,0.5859814155243499,0.08970627512178168,0.3378438453230658
2012-10-01,-0.82,-37.6,0.556531318610111,0.1318257000096598,0.34417850930988536
2012-11-01,-0.82,-37.7,0.556531318610111,0.11076598756571998,0.33364865308791547
2012-12-01,-0.83,-37.5,0.5270812216958717,0.15288541245359957,0.3399833170747356
